,title,genre,language,awards,metascore,boxoffice,production,imdbrating,imdbvotes,imdbid
1,Manhattan Romance,"Comedy, Drama, Romance",English,3 wins.,N/A,N/A,Beacon Films Inc.,5.5,"1,122",tt2608324
2,Stonehearst Asylum,"Drama, Horror, Thriller",English,1 win & 1 nomination.,52,N/A,Millenium Entertainment,6.8,"48,493",tt1772264
3,The Runner,Drama,English,N/A,39,N/A,Alchemy,4.7,"4,768",tt3687398
4,6 Years,"Drama, Romance",English,4 nominations.,53,N/A,N/A,5.6,"10,784",tt3799372
5,Sierra Burgess Is a Loser,"Comedy, Drama, Romance",English,2 nominations.,60,N/A,Netflix,5.9,"31,443",tt3120280
6,Hell and Back,"Animation, Adventure, Comedy, Fantasy",English,2 nominations.,N/A,"$156,166",Freestyle Releasing LLC.,5.4,"4,581",tt2141773
7,Carrie Pilby,"Comedy, Drama",English,1 win & 2 nominations.,52,"$19,025",The Orchard,6.6,"5,821",tt2989524
8,Marc Maron: Too Real,Comedy,English,N/A,N/A,N/A,Netflix,7.1,"1,237",tt7335938
9,The World We Make,Drama,English,N/A,N/A,N/A,N/A,4.9,354,tt7643622
10,Black Panther,"Action, Adventure, Sci-Fi","English, Swahili, Nama, Xhosa, Korean",Won 3 Oscars. Another 109 wins & 265 nominations.,88,"$501,105,037",Marvel Studios,7.3,"570,888",tt1825683
11,Gerald's Game,"Drama, Horror, Thriller",English,4 wins & 3 nominations.,77,N/A,Netflix,6.6,"77,085",tt3748172
12,Our Souls at Night,"Drama, Romance",English,1 nomination.,69,N/A,Netflix,6.9,"9,786",tt5034266
13,"Monster High: Boo York, Boo York","Animation, Fantasy",English,1 nomination.,N/A,N/A,Mattel Playground Productions,6.5,513,tt4779496
14,Hold the Dark,"Drama, Horror, Mystery, Thriller",English,1 win.,63,N/A,Netflix,5.6,"30,393",tt5057140
15,In the Shadow of the Moon,"Crime, Mystery, Sci-Fi, Thriller",English,N/A,48,"$941,775",ThinkFilm,6.2,"31,149",tt8110640
16,Joseph: King of Dreams,"Animation, Adventure, Biography, Drama, Family, History, Musical",English,2 wins & 5 nominations.,N/A,N/A,Dreamworks,6.5,"10,271",tt0264734
17,The Hurricane Heist,"Action, Adventure, Crime, Thriller","American Sign Language, English",N/A,35,N/A,Entertainment Studios Motion Pictures,5.1,"17,301",tt5360952
18,Def Comedy Jam 25,"Documentary, Comedy",English,2 nominations.,N/A,N/A,Netflix,6.6,840,tt7427130
19,Restless Creature: Wendy Whelan,Documentary,English,1 nomination.,87,N/A,N/A,7.1,224,tt5119264
20,USS Indianapolis: Men of Courage,"Action, Drama, History, Thriller, War","English, Japanese",1 nomination.,30,N/A,Saban Films,5.2,"10,482",tt2032572
21,A Wrinkle in Time,"Adventure, Family, Fantasy, Sci-Fi",English,5 wins & 15 nominations.,53,N/A,N/A,4.2,"38,152",tt1620680
22,Inside Man: Most Wanted,"Action, Crime, Thriller",English,N/A,N/A,N/A,N/A,5.6,"1,993",tt7832848
23,Jeff Dunham: Beside Himself,Comedy,English,N/A,N/A,N/A,Netflix,6.7,696,tt10847194
24,Under the Eiffel Tower,Romance,English,N/A,41,N/A,N/A,5.0,538,tt6251390
25,Iliza Shlesinger: Confirmed Kills,Comedy,English,N/A,N/A,N/A,Netflix,6.5,"1,959",tt6081882
26,20 Feet from Stardom,"Documentary, Biography, Music","English, Spanish",Won 1 Oscar. Another 20 wins & 27 nominations.,83,N/A,Radius-TWC,7.4,"11,810",tt2396566
27,Gaga: Five Foot Two,"Documentary, Music",English,4 wins & 1 nomination.,63,N/A,Netflix,7.0,"10,593",tt7291268
28,The Bad Batch,"Drama, Horror, Romance, Sci-Fi",English,1 win & 3 nominations.,62,"$180,851",NEON,5.3,"23,325",tt4334266
29,Smosh: The Movie,"Comedy, Fantasy, Sci-Fi",English,N/A,N/A,N/A,Lionsgate Films,3.3,"5,775",tt4184878
30,Quincy,"Documentary, Biography",English,Nominated for 1 Primetime Emmy. Another 8 wins & 7 nominations.,60,N/A,Netflix,7.6,"2,855",tt7440432
31,Between Two Ferns: The Movie,Comedy,English,1 win & 1 nomination.,59,N/A,Netflix,6.1,"22,476",tt9398640
32,Daddy Issues,"Drama, Romance",English,13 wins & 2 nominations.,N/A,N/A,Gravitas Ventures,4.0,535,tt6271806
33,Vincent N Roxxy,"Crime, Drama, Thriller",English,N/A,43,N/A,Vertical Entertainment,5.5,"1,712",tt3704298
34,The Endless,"Fantasy, Horror, Sci-Fi, Thriller",English,5 wins & 8 nominations.,80,N/A,Well Go USA Entertainment,6.5,"27,315",tt3986820
35,Jerry Before Seinfeld,Comedy,English,N/A,N/A,N/A,Netflix,7.0,"4,599",tt7310906
36,Class Rank,"Comedy, Family, Romance",English,5 wins.,N/A,N/A,N/A,6.4,"1,099",tt5219972
37,Barbie: Dolphin Magic,"Animation, Adventure, Family, Fantasy",English,N/A,N/A,N/A,Mattel Creations,5.6,415,tt7130740
38,Keith Richards: Under the Influence,"Documentary, Music",English,3 nominations.,62,N/A,Radical Media,7.2,"2,603",tt4900018
39,A Haunting at Silver Falls: The Return,Horror,N/A,N/A,N/A,N/A,N/A,3.3,204,tt6170262
40,Clive Davis: The Soundtrack of Our Lives,Documentary,English,3 wins.,57,N/A,Abramorama,7.4,370,tt6494358
41,Sebastian Maniscalco: What's Wrong with People?,Comedy,English,N/A,N/A,N/A,eOne Entertainment Distribution,8.1,770,tt2215489
42,I Am Wrath,"Action, Crime, Drama, Thriller",English,N/A,N/A,N/A,LionsGate Entertainment,5.4,"12,434",tt3212232
43,"As Above, So Below","Horror, Mystery, Thriller","English, French, Latin",1 win & 6 nominations.,38,N/A,Universal Pictures,6.2,"71,227",tt2870612
44,Cedric the Entertainer: Live from the Ville,Comedy,English,N/A,N/A,N/A,Netflix,5.9,601,tt5753806
45,Los Tigres del Norte at Folsom Prison,"Documentary, Music",Spanish,N/A,N/A,N/A,Netflix,7.4,92,tt10857582
46,Steal a Pencil for Me,"Documentary, Romance","English, Dutch",N/A,69,N/A,7th Art Releasing,7.4,323,tt1045889
47,The Outsider,"Crime, Drama, Mystery, Thriller",English,N/A,N/A,na,na,8.0,"40,485",tt8550800
48,Natural Born Pranksters,Comedy,English,N/A,N/A,N/A,Collective Digital Studios,3.6,"3,528",tt3671086
